# VASP Wiki INCAR tag help for pei_vasp_univ_find_and_change.
# Source: https://vasp.at/wiki/Category:INCAR_tag
# Retrieved: 2026-07-20; 609 INCAR keys/families from 612 category pages.
# NPPSTR and PFLAT use their page titles because their Wiki TAGDEF templates currently name another tag.
# NICS, POSNICS, NMRCAR.magres, and Profiling are category pages but not INCAR keys.
# Format: TAG<TAB>concise description; common choices and/or defaults.
ADDGRID	ADDGRID determines whether an additional support grid is used for the evaluation of the augmentation...; T=on, F=off; default=FALSE
AEXX	AEXX specifies the fraction of exact exchange in a Hartree-Fock-type/hybrid-functional calculation; defaults=0.25/1/0
AGGAC	AGGAC is a parameter that multiplies the gradient correction in the GGA correlation functional; defaults=1.0/0.0
AGGAX	AGGAX is a parameter that multiplies the gradient correction in the GGA exchange functional; defaults=1.0-AEXX/1.0
ALDAC	ALDAC is a parameter that multiplies the LDA correlation functional or the LDA part of the GGA...; defaults=1.0/0.0
ALDAX	ALDAX is a parameter that multiplies the LDA exchange functional or the LDA part of the GGA exchange...; defaults=1.0-AEXX/1.0
ALGO	Selects the electronic-minimization algorithm and/or the many-body method; default=Normal
ALPHA_VDW	Specify in vdW-DF3-opt1/vdW-DF3-opt2; defaults=0.94950/0.28248
AMGGAC	AMGGAC is a parameter that multiplies the meta-GGA correlation functional (available as of VASP.6.4.0); defaults=1.0/0.0
AMGGAX	AMGGAX is a parameter that multiplies the meta-GGA exchange functional (available as of VASP.6.4.0); defaults=1.0-AEXX/1.0
AMIN	AMIN specifies the minimal mixing parameter in Kerker's initial approximation to the charge-dielectric...; default=min(0.1,AMIX,AMIX_MAG)
AMIX	AMIX specifies the linear mixing parameter; defaults=0.8/0.4
AMIX_MAG	Linear mixing parameter for the magnetization density; default=1.6
ANDERSEN_PROB	ANDERSEN_PROB sets the collision probability for the Anderson thermostat (in case VASP was compiled...; options=0[real]1; default=0
ANTIRES	ANTIRES determines whether the Tamm-Dancoff approximation is used or not; options=0/1/2; default=0
APACO	APACO sets the maximum distance in the evaluation of the pair-correlation function (in A); default=10
BANDGAP	BANDGAP determines the verbosity for reporting the bandgap to the OUTCAR file; options=COMPACT/WEIGHT/KPOINT; default=COMPACT
BEXT	Specifies an external magnetic field in eV; format=[real] or three [real] values; defaults=0.0/3*0.0/N/A
BEXX	BEXX specifies the fraction of short-range exact exchange in range-separated hybrid-functionals...; default=1
BMIX	BMIX sets the cutoff wave vector for Kerker mixing scheme (IMIX=1 and/or INIMIX=1); default=1.0
BMIX_MAG	Sets the cutoff wave vector for Kerker mixing scheme (IMIX=1 and/or INIMIX=1) for the magnetization...; default=1.0
BPARAM	The tag BPARAM specifies the value of the parameter b in the kernel of the nonlocal rVV10 correlation...; default=6.3
BSEELECTRON	BSEELECTRON sets the coordinates of the fixed electron of the exciton wavefunction
BSEHOLE	BSEHOLE sets the coordinates of the fixed hole of the exciton wavefunction
BSEPREC	Determines the precision of the time-evolution algorithm, where it controls the timestep and the...; options=Low/Medium/High/Accurate; default=Medium
CHECKPOINT_FD	Enables a finite differences calculation to be restarted or split up into displacements; options=CONTINUE/RESET/NONE/SINGLE; default=RESET
CH_AMPLIFICATION	This tag is used to scale (amplify) the calculated dielectric function within the supercell core-hole...; default=1.0
CH_LSPEC	This flag controls whether the dielecectric function using the supercell core-hole method is...; T=on, F=off; default=FALSE
CH_NEDOS	This tag specifies the number of frequency (energy) grid points on the x-axis in the calculation of...; default=1000
CH_SIGMA	This tag specifies the width of the Gaussian broadening in eV of the imaginary dielectric function...; default=0.3
CLL	CLL selects the angular quantum number l of the excited core electron when using ICORELEVEL>0; default=0
CLN	CLN selects the main quantum number n of the excited core electron when using ICORELEVEL>0; default=1
CLNT	CLNT selects the type of the excited atoms in XAS calculations with ICORELEVEL>0; default=1
CLZ	CLZ selects a fractional or the full electron charge for the core hole in the core-excitation...; default=0
CMBJ	Defines the c parameter in the MBJ potential; default=calculated self-consistently
CMBJA	Sets the parameter in the MBJ and LMBJ potentials; defaults=0.012/0.488
CMBJB	Sets the parameter in the MBJ and LMBJ potentials; defaults=1.023/0.5
CMBJE	Sets the e parameter in the MBJ and local MBJ potentials; default=0.5
CPARAM	The tag CPARAM allows to specify the value of the parameter C in the kernel of the nonlocal rVV10...; default=0.0093
CSHIFT	CSHIFT sets a Lorentzian broadening in eV of the dielectric tensor via the complex shift in the...; defaults=0.1/OMEGAMAX*1.3 / max(NOMEGA,40)
CUTOFF_MU	CUTOFF_MU specifies the energy cutoff in eV for the function specified by CUTOFF_MU; format=one or two real values; default=0.8 * Fermi level of a system with NUM_WANN...
CUTOFF_SIGMA	CUTOFF_SIGMA specifies the broadening in eV for the cutoff function specified by CUTOFF_TYPE; format=one or two real values; default=0.1
CUTOFF_TYPE	CUTOFF_TYPE chooses the type of cutoff function to be used before performing the singular-value...; options=erfc/gaussian/fermi/num_wann; default=erfc
DEG_THRESHOLD	DEG_THRESHOLD specifies whether two eigenvalues should be treated as degenerate during clustering of...; default=$2 10^{-3}$
DEPER	DEPER specifies a relative stopping criterion for the optimization of an eigenvalue; default=0.3
DFTD4_MODEL	DFTD4_MODEL defines the model in the DFT-D4 method; default=D4
DFTD4_XC	DFTD4_XC sets the exchange-correlation functional which determines the van der Waals parameters used...; default=The functional set by the GGA, METAGGA or XC tag
DIMER_DIST	The flag DIMER_DIST defines the step size for the numerical differentiation (in ) for the Improved...; default=0.01
DIPOL	Specifies the center of the cell in direct lattice coordinates with respect to which the total dipole-...
DQ	Step size for the finite difference k-space derivative in the linear response calculation of chemical...; default=0.001
EBREAK	EBREAK specifies an absolute stopping criterion for the optimization of an eigenvalue; default=EDIFF/NBANDS/4
EDIFF	EDIFF specifies the global break condition for the electronic SC-loop. EDIFF is specified in units of eV; default=10^{-4}
EDIFFG	EDIFFG defines the break condition for the ionic relaxation loop; default=EDIFF10
EFERMI	Defines how the Fermi energy is calculated in VASP. It is recommended to use EFERMI = MIDGAP; options=MIDGAP/LEGACY/[real]; default=LEGACY
EFERMI_NEDOS	Number of GaussLegendre integration points used to evaluate the FermiDirac distribution and determine...; default=21
EFIELD	EFIELD controls the magnitude of the applied electric force field
EFIELD_PEAD	EFIELD_PEAD specifies the homogeneous electric force field in the electric enthalpy functional used to...; defaults=3*0.01/3*0.0
EFOR	EFOR sets external forces in eV/A on each atom in the cartesian x-, y-, and z-directions. The order of...; default=3 * NIONS * 0.0
EINT	EINT sets the energy interval for bands contributing to the calculation of the partial charge density...; default=not set
ELPH_DECOMPOSE	Chooses which contributions to include in the computation of the electron-phonon matrix elements; default=VDPR
ELPH_DRIVER	Chooses which driver to use for electron-phonon calculations; options=el/mels; default=el
ELPH_FERMI_NEDOS	Number of GaussLegendre integration points used to evaluate the FermiDirac distribution and determine...; default=501
ELPH_IGNORE_IMAG_PHONONS	If enabled, VASP ignores imaginary phonon frequencies during electron-phonon calculations; T=on, F=off; default=FALSE
ELPH_ISMEAR	Chooses the smearing method to determine the fermi level and chemical potential before an electron-...; options=-15/-14/-5/-4/-1/0/[integer]>0; default=0
ELPH_KSPACING	The tag ELPH_KSPACING determines the k point mesh if the KPOINTS_ELPH file is not present; default=0.5
ELPH_LR	Controls the treatment of the long-range part of the electron-phonon potential; default=1
ELPH_MODE	Meta tag that selects reasonable defaults for electron-phonon calculations
ELPH_NBANDS	Number of bands to compute on the dense k point grid for the electron-phonon driver; default=NBANDS
ELPH_NBANDS_SUM	Number of intermediate states to include in the computation of the phonon-induced electron self-energy; default=ELPH_NBANDS
ELPH_POT_FFT_MESH	Specifies the FFT mesh for mapping the electron-phonon potential to the primitive cell
ELPH_POT_GENERATE	Calculates the electron-phonon potential from finite atomic displacements; T=on, F=off; default=False
ELPH_POT_LATTICE	Allows specifying an alternative primitive cell for the mapping of the electron-phonon potential
ELPH_PREPARE	Writes the potential, the force-constants and other information related to electron-phonon...; T=on, F=off; default=FALSE
ELPH_RUN	Select whether to run and electron-phonon calculation; T=on, F=off; default=false
ELPH_SCATTERING_APPROX	Select which type of approximation is used to compute the electron scattering lifetimes due to...; default=SERTA MRTA_LAMBDA
ELPH_SELFEN_BAND_START	Compute the electron self-energy due to electron-phonon coupling only for bands with indices starting...; default=1
ELPH_SELFEN_BAND_START_KP	Index of the first k' band included in the electron self-energy sum; -1 uses all bands, and -2...; default=-1
ELPH_SELFEN_BAND_STOP	Compute the electron self-energy due to electron-phonon coupling only for bands with indices until...; default=ELPH_NBANDS
ELPH_SELFEN_BAND_STOP_KP	Index of the last k' band included in the electron self-energy sum; -1 uses all bands up to...; default=-1
ELPH_SELFEN_BROAD_TOL	Defines the fraction of the total weight of the broadening function (derived from the imaginary part...; default=1e-6
ELPH_SELFEN_CARRIER_DEN	List of additional carrier densities in units of cm^{-3} at which to compute the phonon-mediated...; default=0.0
ELPH_SELFEN_CARRIER_DEN_RANGE	List of carrier density ranges in logarithmic scale (in cm^{-3}) at which to compute the phonon-...
ELPH_SELFEN_CARRIER_PER_CELL	List of additional number of carriers for which to compute the phonon-mediated electron self-energy...; default=0.0
ELPH_SELFEN_DELTA	Complex imaginary shift to use when computing the self-energy due to electron-phonon coupling; default=0.01
ELPH_SELFEN_DW	Controls whether the Debye-Waller contribution is included in the calculation of the phonon-induced...; T=on, F=off; default=FALSE
ELPH_SELFEN_ENERGY_WINDOW	Specifies the energy window (in eV) around the band edges within which the electron-phonon self-energy...; default=0.0 0.0
ELPH_SELFEN_FAN	Controls whether the Fan-Migdal contribution is included in the calculation of the phonon-induced...; T=on, F=off; default=FALSE
ELPH_SELFEN_GAPS	Find the direct and indirect gaps and the valence and conduction Kohn-Sham states that form it and...; T=on, F=off; default=FALSE
ELPH_SELFEN_G_SKIP	Skip the computation of the electron-phonon matrix elements and instead assume their numerical value is 1; T=on, F=off; default=FALSE
ELPH_SELFEN_IKPT	Compute the electron self-energy due to electron-phonon for a list of k-points specified by their...; default=All k-points
ELPH_SELFEN_IMAG_SKIP	Use the tetrahedron method to skip the computation of electron-phonon matrix elements for which the...; T=on, F=off; default=FALSE
ELPH_SELFEN_KPTS	Computes the electron self-energy due to electron-phonon for a list of k-points specified by their...; default=All k-points
ELPH_SELFEN_MU	List of chemical potentials at which to compute the phonon-mediated electron self-energy and transport...; default=0.0
ELPH_SELFEN_MU_RANGE	List of the range of chemical potentials (in eV) at which to compute the phonon-mediated electron...
ELPH_SELFEN_NW	Number of energies to use when computing the phonon-induced electron self-energy; default=1
ELPH_SELFEN_STATIC	Activates the adiabatic approximation for the phonon-induced electron self-energy; T=on, F=off; default=FALSE
ELPH_SELFEN_TEMPS	List of temperatures for which to compute the electron self-energy due to electron-phonon coupling; default=0 100 200 300 400 500
ELPH_SELFEN_TEMPS_RANGE	The range of temperatures (in K) at which to compute the phonon-mediated electron self-energy and...
ELPH_SELFEN_WRANGE	Together with ELPH_SELFEN_NW specifies the energy window in which to evaluate the phonon-induced...; default=0
ELPH_TRANSPORT	Activates transport calculation involving electron-phonon coupling; T=on, F=off; default=FALSE
ELPH_TRANSPORT_DFERMI_TOL	Choose the fraction of the integral weight of the derivative of the FermiDirac distribution that is...; default=1e-6
ELPH_TRANSPORT_DRIVER	Choose method to compute the Onsager coefficients, which are then used to compute the transport...; default=2
ELPH_TRANSPORT_EMAX	Upper bound of the energy window in which states are considered for transport calculations
ELPH_TRANSPORT_EMAX_PLOT	Specifies the maximum energy (in eV) to be considered when computing the transport distribution...; default=(_{n{k
ELPH_TRANSPORT_EMIN	Lower bound of the energy window in which states are considered for transport calculations
ELPH_TRANSPORT_EMIN_PLOT	Specifies the minimum energy (in eV) to be considered when computing the transport distribution...; default=(_{n{k
ELPH_TRANSPORT_NEDOS_PLOT	Specifies the number of energy points used to sample the transport distribution function for plotting; default=-1
ELPH_USEBLAS	Toggles the use of BLAS routines for computing electron-phonon matrix elements; T=on, F=off; default=TRUE
ELPH_USERECIP	Computes electron-phonon matrix elements in reciprocal space instead of real space; T=on, F=off; default=FALSE
ELPH_WF_CACHE_MB	Maximum memory (in MB) allocated for caching wavefunctions during electron-phonon matrix element...; default=1000
ELPH_WF_CACHE_PREFILL	Pre-fills the wavefunction cache before the main electron-phonon loop begins; T=on, F=off; default=TRUE
ELPH_WF_COMM_OPT	Selects the MPI communication pattern used to exchange orbitals between different MPI ranks; default=0
ELPH_WF_REDISTRIBUTE	After computing the electronic states, they are redistributed among the CPUs such that the workload to...; T=on, F=off; default=FALSE
ELPH_WRITE_HDF5VEL	If set, writes the electron group velocities to the vaspout.h5 file; T=on, F=off; default=FALSE
ELPH_WRITE_TEXTVEL	If set, writes the electron group velocities to a velocity human-readable text file; T=on, F=off; default=FALSE
EMAX	EMAX specifies the upper boundary of the energy range for the evaluation of the electronic density of...; default=highest KS eigenvalue +
EMIN	EMIN specifies the lower boundary of the energy range for the evaluation of the electronic density of...; default=lowest KS eigenvalue -
ENAUG	Specifies the cutoff energy of the plane-wave representation of the augmentation charges in eV; default=largest EAUG read from the POTCAR file
ENCUT	ENCUT specifies the energy cutoff for the plane-wave basis set in eV; default=largest ENMAX in the POTCAR file
ENCUTFOCK	The ENCUTFOCK tag sets the energy cutoff that determines the FFT grids used by the Hartree-Fock routines
ENCUTGW	The tag ENCUTGW sets the energy cutoff for the response function. It controls the basis set for the...; default=2/3 ENCUT
ENCUTGWSOFT	The flag ENCUTGWSOFT sets the energy cutoff for the response function, such that it allows to truncate...; defaults=ENCUTGW 0.8/ENCUTGW
ENCUTLR	Reciprocal space cutoff for the treatment of the long-range contribution; default=50 eV
ENINI	ENINI controls the cutoff during the initial (steepest descent) phase for IALGO=48; default=ENCUT
EPSILON	EPSILON sets the dielectric constant of the medium; default=1
ESTOP	ESTOP specifies the stop condition for stochastic MP2; default=0.05
EVENONLY	EVENONLY=.TRUE. selects a subset of k-points for the representation of the Fock exchange potential,...; T=on, F=off; default=FALSE
EVENONLYGW	EVENONLYGW allows to restrict the k-points in the evaluation of response functions (in GW...; T=on, F=off; default=FALSE
EWALD_CUTOFF	EWALD_CUTOFF sets the unified cutoff radius for the Ewald summation of the electrostatic interaction....; default=4.0
FBIAS_A	Defines the step height for the bias potential in eV
FBIAS_D	Sets the slope of the bias potential
FBIAS_R0	Defines the half-step position for the bias potential
FERDO	FERDO sets the occupancies of the states in the down-spin channel for ISMEAR=-2 and ISPIN=2
FERWE	FERWE sets the occupancies of the states for ISMEAR=-2
FINDIFF	Defines whether a forward (FINDIFF=1) or a central (FINDIFF=2) difference formula for the numerical...; default=1
FMP_ACTIVE	Select which atom types in the POSCAR-file participate in swapping within the Muller-Plathe method; options=logical (aray); default=NIONS * False
FMP_DIRECTION	Index of the lattice vector {a}_i along which the temperature gradient is created in the (Muller-...; options=1/2/3; default=3
FMP_PERIOD	Number of time steps between two swapping events in the Muller-Plathe method; default=10
FMP_SNUMBER	Number of slabs perpendicular to the temperature gradient in the Muller-Plathe method; default=10
FMP_SWAPNUM	Number of pairs that are exchanged in a single swapping event in the Muller-Plathe method; default=1
FOCKCORR	The tag FOCKCORR determines how the Coulomb convergence corrections are applied; options=1/2; defaults=2/1
GAMMA_VDW	Specify in vdW-DF3-opt1/vdW-DF3-opt2; defaults=1.12/1.29
GGA	Selects a LDA or GGA exchange-correlation functional; default=The functional specified by LEXCH in the POTCAR...
GGA_COMPAT	If set to GGA_COMPAT = .FALSE., this tag restores the full lattice symmetry for gradient-corrected...; T=on, F=off; default=TRUE
HFALPHA	HFALPHA sets the decay constant used in the method of Massida, Posternak, and Baldereschi, which is...; default=6/sqrt(ENMAX)/(2)
HFLMAX	To be compatible w.r.t. old releases, VASP also reads the flag HFLMAX to the same effect as LMAXFOCK; default=4
HFRCUT	HFRCUT specifies how the Coulomb kernel is approximated at G=0 when the Fock energy and the exchange...; default=0
